"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"07:29","04:29"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"11:14","10:46"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"05:46","05:43"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"06:04","05:37"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"18:25","16:52"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"09:25","06:54"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"10:47","08:40"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"12:17","12:19"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"07:29","06:34"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"05:09","04:40"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"05:50","06:43"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"10:59","08:58"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"16:31","14:08"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"07:17","06:08"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"14:16","09:18"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"09:01","09:40"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"14:24","12:44"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"22:09","16:55"
