"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"07:43","04:38"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"12:16","10:49"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"06:04","05:55"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"07:15","05:35"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"20:26","17:16"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"13:25","07:57"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"11:50","09:02"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"12:48","12:18"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"08:31","06:52"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"05:18","04:56"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"06:00","07:54"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"12:05","09:19"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"19:14","15:04"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"07:39","06:20"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"16:00","09:30"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"09:12","09:24"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"15:26","13:29"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"26:19","18:15"
