"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"07:43","04:26"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"13:55","10:46"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"06:09","05:56"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"06:51","05:36"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"21:24","17:37"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"10:37","07:01"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"12:47","09:13"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"12:08","12:33"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"08:16","06:49"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"05:25","04:54"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"06:00","08:01"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"12:44","09:41"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"16:46","14:17"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"07:25","06:07"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"14:59","10:01"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"09:39","09:15"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"15:48","13:25"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"27:15","18:13"
