"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"05:46","04:15"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"10:50","10:08"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"05:56","05:50"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"06:00","05:34"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"16:59","17:19"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"07:25","06:33"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"13:06","08:49"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"11:01","12:35"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"06:46","06:23"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"04:53","04:43"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"05:33","06:42"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"09:08","08:37"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"13:04","13:50"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"06:41","05:57"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"10:45","09:18"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"08:49","08:12"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"12:48","12:29"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"18:13","16:47"
