"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"05:20","04:08"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"09:59","10:17"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"05:46","05:45"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"05:54","05:37"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"16:36","15:59"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"07:00","06:54"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"11:09","08:39"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"10:54","11:55"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"06:45","06:38"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"04:49","05:02"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"05:28","06:08"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"09:06","08:52"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"12:19","12:39"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"06:43","05:59"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"10:14","08:27"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"08:49","08:14"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"11:37","12:24"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"18:39","16:24"
