"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"08:32","04:37"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"12:31","10:49"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"05:36","05:35"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"05:53","05:35"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"17:47","18:08"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"09:23","07:03"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"10:11","08:44"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"11:51","12:33"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"07:51","07:22"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"05:01","04:45"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"06:37","08:07"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"09:54","09:15"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"14:14","15:09"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"07:22","06:22"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"13:46","09:52"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"09:43","10:50"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"14:49","13:24"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"21:24","18:41"
