"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"08:38","04:36"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"14:45","11:00"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"06:08","05:54"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"07:43","05:46"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"22:21","19:14"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"13:09","07:56"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"16:20","09:00"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"13:24","12:20"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"10:20","07:42"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"05:20","05:26"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"06:32","07:47"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"14:35","10:13"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"18:35","16:07"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"08:03","06:17"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"18:07","10:32"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"09:52","09:32"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"19:02","14:26"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"29:22","19:48"
