"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"8:53","4:29"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"13:59","11:22"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"5:41","5:42"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"7:37","6:01"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"22:42","19:45"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"8:40","7:02"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"10:49","8:45"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"12:49","13:02"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"8:05","7:07"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"6:21","6:47"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"6:40","7:25"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"11:09","9:48"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"15:33","13:36"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"7:19","6:08"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"13:33","8:50"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"9:27","10:00"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"15:38","14:04"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"22:36","18:49"
