"#","Corridor Name","Origin to Destination","Corridor Length (Km)","AM Peak (7-9AM) mm:ss","PM Peak (4-7PM) mm:ss"
1,"Coronation Drive","High St to Boomerang St",2.64,"10:00","04:31"
2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,"14:18","11:20"
3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,"05:41","05:28"
4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,"06:11","05:36"
5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,"19:30","18:02"
6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,"11:53","07:13"
7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,"11:32","08:48"
8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,"12:18","12:38"
9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,"09:26","06:57"
10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,"05:11","04:45"
11,"Moggill Road","Russell Tce to Coronation Dr",3.31,"06:42","07:55"
12,"Old Cleveland Road","Creek Rd to Montague St",5.87,"12:11","09:22"
13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,"17:09","14:33"
14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,"07:49","06:11"
15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,"17:26","08:54"
16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,"09:41","10:50"
17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,"16:31","13:10"
18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,"25:13","18:34"
