[ 7044.73583984],[ 6998.95654297],[ 6988.24414062],[ 6985.78662109],[ 6985.22558594],[ 6985.09716797],[ 6985.06835938],[ 6985.06152344],[ 6985.06005859],[ 6985.06005859]
[ 10030.71582031],[ 9933.88867188],[ 9858.92578125],[ 9799.23242188],[ 9750.71582031],[ 9710.67871094],[ 9677.25585938],[ 9649.10351562],[ 9625.22460938],[ 9604.85742188]
[ 9343.14355469],[ 9225.44433594],[ 9149.32910156],[ 9097.37304688],[ 9060.89648438],[ 9034.88671875],[ 9016.17480469],[ 9002.64257812],[ 8992.82421875],[ 8985.68457031]
[ 115.01031494],[ 107.18289948],[ 102.30363464],[ 98.95274353],[ 96.50785065],[ 94.64929962],[ 93.19441986],[ 92.03038788],[ 91.08335114],[ 90.30267334]
[ 294.61495972],[ 297.13568115],[ 297.8944397],[ 298.12304688],[ 298.19195557],[ 298.21273804],[ 298.21896362],[ 298.22088623],[ 298.22143555],[ 298.22161865]
[ 6942.15820312],[ 6955.05712891],[ 6966.45214844],[ 6976.48046875],[ 6985.27685547],[ 6992.97021484],[ 6999.68164062],[ 7005.52392578],[ 7010.59960938],[ 7015.00244141]
[ 9021.11914062],[ 8773.42773438],[ 8640.75683594],[ 8562.53027344],[ 8514.05175781],[ 8483.14453125],[ 8463.09765625],[ 8449.95507812],[ 8441.27929688],[ 8435.52636719]
[ 10713.63085938],[ 10355.74804688],[ 10172.73144531],[ 10081.51855469],[ 10036.74609375],[ 10014.94824219],[ 10004.37890625],[ 9999.265625],[ 9996.79296875],[ 9995.59960938]
[ 17570.81640625],[ 17439.31054688],[ 17359.4453125],[ 17307.6328125],[ 17272.61523438],[ 17248.30664062],[ 17231.12109375],[ 17218.81640625],[ 17209.92578125],[ 17203.4609375]
[ 9478.63769531],[ 9414.42871094],[ 9375.65917969],[ 9350.41015625],[ 9333.22167969],[ 9321.18945312],[ 9312.60742188],[ 9306.40820312],[ 9301.890625],[ 9298.57617188]
[ 3649.59545898],[ 3630.71069336],[ 3617.43481445],[ 3607.77685547],[ 3600.58032227],[ 3595.12426758],[ 3590.93432617],[ 3587.68530273],[ 3585.1472168],[ 3583.15307617]
[ 6995.23876953],[ 6943.35693359],[ 6904.54394531],[ 6874.22167969],[ 6849.77978516],[ 6829.62011719],[ 6812.70703125],[ 6798.33740234],[ 6786.01269531],[ 6775.36669922]
[ 8486.69628906],[ 8679.46972656],[ 8673.24121094],[ 8673.43164062],[ 8673.42578125],[ 8673.42675781],[ 8673.42675781],[ 8673.42675781],[ 8673.42675781],[ 8673.42675781]
[ 8682.58496094],[ 8513.21777344],[ 8400.96484375],[ 8322.27734375],[ 8265.24121094],[ 8223.03515625],[ 8191.39306641],[ 8167.47021484],[ 8149.28173828],[ 8135.40087891]
[ 10832.70996094],[ 10684.92285156],[ 10629.11132812],[ 10607.17675781],[ 10598.43945312],[ 10594.94140625],[ 10593.53710938],[ 10592.97363281],[ 10592.74707031],[ 10592.65625]
[ 4901.49462891],[ 4858.43457031],[ 4828.11621094],[ 4806.50488281],[ 4790.97460938],[ 4779.75439453],[ 4771.61669922],[ 4765.69970703],[ 4761.38916016],[ 4758.24511719]
[ 10520.75585938],[ 10399.33789062],[ 10342.90234375],[ 10315.97070312],[ 10302.96386719],[ 10296.64453125],[ 10293.56738281],[ 10292.06738281],[ 10291.33496094],[ 10290.97753906]
[ 6268.69140625],[ 6225.86669922],[ 6210.13867188],[ 6204.08740234],[ 6201.72119141],[ 6200.79003906],[ 6200.42285156],[ 6200.27832031],[ 6200.22119141],[ 6200.19824219]
[ 16208.27246094],[ 16125.51855469],[ 16091.60742188],[ 16077.37695312],[ 16071.34863281],[ 16068.78613281],[ 16067.6953125],[ 16067.23046875],[ 16067.03222656],[ 16066.94726562]
[ 11380.75],[ 11246.90429688],[ 11167.69238281],[ 11116.89160156],[ 11082.76855469],[ 11059.171875],[ 11042.53808594],[ 11030.65722656],[ 11022.09179688],[ 11015.87792969]
[ 16080.68261719],[ 15972.40820312],[ 15892.51855469],[ 15831.49707031],[ 15783.69921875],[ 15745.54296875],[ 15714.63769531],[ 15689.31640625],[ 15668.37890625],[ 15650.9375]
[ 4610.86425781],[ 4522.65722656],[ 4464.02148438],[ 4421.49316406],[ 4388.859375],[ 4362.82275391],[ 4341.45410156],[ 4323.54101562],[ 4308.27734375],[ 4295.10302734]
